bbl,bin,address,zipcode,bldgtype,ess,year,gfa,numbldgs,numfloors,eui,energy,wui,ghg,primary_type,other_types_dict,has_datacenter,electricity,bedrooms,natural_gas,steam,worker_dens,res_units,diesel,fuel_4,fuel_2,fuel_5_6
1000650007,1001097,15 Maiden Lane,10038,Office,89,1908,144200,1,20,153.6,,,5.27,Office,"{'Bank/Financial Institution': 5067.0, 'Other': 4293.0, 'Office': 134840.0}",0,5727077.88,,,3207213.41,3,,,,,
1012830069,1035427,589 Fifth Avenue,10017,Office,52,1950,188016,1,17,240.8,,,10.43,Office,"{'Bank/Financial Institution': 21012.0, 'Other': 2092.0, 'Office': 164912.0}",0,9738826.05,,10009.68,12241663.42,2.56,,,,,
1012720039,1035053,730 5th Ave,10019,Office,43,1921,290194,0,0,307.9,,,8.89,Office,"{'Data Center': 1521.0, 'Bank/Financial Institution': 11697.0, 'Office': 276976.0}",1,25596075.56,,,3533521,2.05,,,,,
1008670070,1017224,417 5th Avenue,10016,Office,0,1914,429435,1,11,157.7,,,5.04,Office,"{'Data Center': 4091.0, 'Other': 8119.0, 'Office': 417225.0}",1,21790699.55,,,6509154.59,1.39,,,,,
1008570062,1016892,72 Madison Avenue,10016,Office,49,1911,58500,1,12,182.1,,,6.37,Office,,0,849676.27,,1039715.06,,4,,,1346927.69,,
1000920030,1079101,126-132 Nassau Street,10038,Office,78,1915,126000,1,4,177.8,,,6.78,Office,"{'Other': 11500.0, 'Office': 114500.0}",0,5146410.93,,1224825.81,,3.38,,,4805421.87,,
1013930040,10410877,74 East 79th Street,100750264,Multifamily Housing,0,1987,51055,1,19,149.7,,,5.6,Multifamily Home,,0,907081.83,56,4186270.74,,,28,,,,
1007620042,1013646,589 Eighth Avenue,10018,Office,90,1928,117850,1,23,150.7,,,6.09,Office,"{'Retail': 5050.0, 'Office': 112800.0}",0,3911909.68,,7275.18,,3.05,,,5272458.05,,
1008340048,1015853,330 Fifth Avenue,10001,Office,0,1925,155827,1,14,199.9,,,6.74,Office,"{'Data Center': 640.0, 'Other': 30620.0, 'Office': 124567.0}",1,9059674.48,,1426861.94,,2.91,,,,,3862944.23
1008610047,1016993,44 E 32nd Street,10016,Office,90,1920,70200,1,12,103.5,,,5.48,Office,"{'Warehouse (Unrefrigerated)': 7000.0, 'Other': 200.0, 'Office': 63000.0}",0,1287505.56,,900,,2.11,,,,,3149866.14
1010250054,1024842,250 W. 54th Street,10019,Office,0,1920,124728,1,12,108.7,,,5.3,Office,"{'Retail': 9210.0, 'Other': 40850.0, 'Office': 74668.0}",0,2619718.48,,4248.39,,1.14,,,,,6306830.46
1012790009,1035369,11 E 44th Street,10017,Office,82,1927,132107,1,18,161,,,5.1,Office,"{'Retail': 10926.0, 'Office': 121181.0}",0,6016752.14,,,2026968.5,2.43,,,,,
1008590064,1016939,105 Madison Avenue,10016,Office,64,1913,167670,1,20.5,213.7,,,6.18,Office,"{'Data Center': 1621.0, 'Retail': 10470.0, 'Office': 155579.0}",1,10408801.29,,632.26,,1.92,,,,,
1013110001,1081164,445 Park Ave,10022,Office,67,1947,323869,1,22,277.2,,,9.66,Office,"{'Data Center': 5767.0, 'Bank/Financial Institution': 7915.0, 'Retail': 11944.0, 'Office': 298243.0}",1,22785203.92,,,19265412.62,3.33,,,,,
